NEWID,NEWID2,COUNTRY,YEAR,COW,DATELEG,DATEEXEC,LEGELEC,EXELEC,SELTRANS,SELRUNOFF,SP1,SP2,SOBSDOM,SIEMASS,SF1,SF2,SF3,SA1,SA2,SREC,SR0STR,SR11CHEAT,SR13VIOL,SR12CAP,SR21CHEAT,SR23VIOL,SR22CAP,INTERCODER,REC_SCORE,PROBLEMS
15,14,Afghanistan                 ,1988,700,(4) April,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,0,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,NA,NA,NA,NA,NA,NA,0,0,5
31,30,Afghanistan                 ,2004,700,NA,(10) October,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,6,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,2
39,38,Albania                     ,1982,339,(11) November,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,1,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(3) High - major problems,NA,NA,NA,NA,NA,0,0,5
44,43,Albania                     ,1987,339,(2) February,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,1,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,NA,NA,NA,NA,NA,NA,0,0,5
48,47,Albania                     ,1991,339,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,7,5,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(3) High - major problems,(1) Low - minor problems only,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,1,0,2
49,48,Albania                     ,1992,339,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,8,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(1) Low - minor problems only,0,0,2
53,52,Albania                     ,1996,339,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,15,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(3) High - major problems,NA,(1) Low - minor problems only,(3) High - major problems,(3) High - major problems,(2) Moderate - moderate problems,1,1,5
54,53,Albania                     ,1997,339,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,12,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,NA,(1) Low - minor problems only,3,0,2
58,57,Albania                     ,2001,339,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(2) Moderate - moderate problems,NA,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,0,NA,2
69,68,Algeria                     ,1982,615,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,1,(0) Otherwise,(1) Presence of International Observers,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,NA,NA,NA,NA,NA,NA,0,1,4
