country_year,electexec,electleg,electboth,IAEP.Constitution amended this year?,IAEP.Age of constitution (years),govstruct,IAEP.Regional government reps selected,IAEP.Election scheduled,IAEP.Election period,IAEP.Do party nominations field leg candidates?,IAEP.Do party nominations field executive candidates?,IAEP.Leg elec sys,IAEP.Exec elec sys,IAEP.Exec elec rules,IAEP.Num of parties that hold >= 5% of legislature,IAEP.Official state party?,IAEP.Leg elec competetive?,IAEP.Exec elec competetive?,IAEP.Boycotted by major party?,IAEP.Did election cause protest/violence?,IAEP.protestpart,IAEP.% of pop voting in leg elec,IAEP.% of pop voting in exec elec,EXELEC,LEGELEC,QED.Transitional election,QED.Runoff election,QED.Freedom to change government,QED.Freedom of association,QED.Freedom of speech,QED.Overall election quality,QED.Extent of election problems,QED.Pre-election legal structural enviornment,QED.Pre-election political conditions,QED.Pre-election violence/unrest,QED.Pre-election administrative capacity,QED.Election day explicit cheating,QED.Election day violence/unrest,QED.Election day administrative capacity,PEI.# years since last regime transition,PEI.WB income level,"PEI.PEI index of electoral integrity, imputed",PEI.Rating of electoral integrity (1-10),"PEI.Electoral laws index (0-100), imputed","PEI.Electoral prodcedures index (0-100), imputed","PEI.Voting district boundaries index (0-100), imputed","PEI.Voter regisration index (0-100), imputed","PEI.Party/candidate registration index (0-100), imputed","PEI.Media coverage index (0-100), imputed","PEI.Campaign finance index (0-100), imputed","PEI.Voting process index (0-100), imputed","PEI.Vote count index (0-100), imputed","PEI.Voting results/reactions index (protests/disputes) (0-100), imputed","PEI.Electoral authorities index (0-100), imputed",PEI.turnout,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parreg,POLITY5.parcomp,POLITY5.regtrans,FH.status,FH.fh_total,WB.GDP per capita (constant 2015 US$),"WB.Foreign direct investment, net inflows (BoP, current US$","WB.Inflation, consumer prices (annual %)",WB.Gini index,nelda1,nelda3,nelda4,nelda5,nelda11,nelda17,nelda18,nelda29,nelda30,nelda32,nelda45,nelda46,nelda47,nelda48,nelda49,CIRI.PHYSINT,CIRI.NEW_EMPINX,CIRI.ELECSD,CIRI.WOPOL,CIRI.INJUD,AFRO.datapresent,Press Freedom Index
Angola-1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7540000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-1980,No,Yes,No,Yes,5,Unitary system,Central government decision,"Yes, inexact periods",Multiple days,No,No executive elections,Plurality (FPP),Chosen strictly by a party,N/A - no elected executive,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,0,1,0,0,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,(3) High - major problems,(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,5,4,1,NA,NF,14,3550.08297047352,37420000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-1986,No,Yes,No,No,11,Unitary system,Central government decision,"Yes, inexact periods",Multiple days,No,No executive elections,Plurality (FPP),Chosen strictly by a party,N/A - no elected executive,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,0,1,0,0,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,(3) High - major problems,NA,(3) High - major problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,11,4,1,NA,NF,14,3226.8171793178,234000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,2,0,NA,NA
Angola-1992,No,No,No,Yes,17,Unitary system,Central government decision,"Yes, inexact periods",Multiple days,No,No executive elections,Plurality (FPP),Chosen strictly by a party,N/A - no elected executive,One,No,Yes,Yes,No,Yes,Widespread participation,91.34,91.34,1,1,0,0,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(0) Good - no problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77,-77,-77,NF,12,2669.43470645828,287956000,299.509803921569,NA,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,NA
Angola-2008,No,Yes,No,No,16,Unitary system,Central government decision,No formal schedule,Multiple days,Yes,No executive elections,Proportional representation,Directly elected,N/A - no elected executive,More than two,No,Yes,Yes,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,11,3,4,NA,NF,11,4077.77684411643,1678971010,12.4758291326398,42.7,yes,yes,yes,yes,yes,yes,no,no,N/A,no,yes,yes,no,no,no,3,4,1,2,0,NA,36.5
Angola-2008,No,Yes,No,No,16,Unitary system,Central government decision,No formal schedule,Multiple days,Yes,No executive elections,Proportional representation,Directly elected,N/A - no elected executive,More than two,No,Yes,Yes,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,11,3,4,NA,NF,11,4077.77684411643,1678971010,12.4758291326398,42.7,yes,yes,yes,yes,yes,yes,no,no,N/A,no,yes,yes,no,no,no,3,4,1,2,0,NA,73
