country,Electiondate,year
Algeria,2002-05-30,2002
Algeria,2004-04-08,2004
Algeria,2007-05-17,2007
Algeria,2009-04-09,2009
Algeria,2012-05-10,2012
Angola,2012-08-31,2012
Benin,2001-03-04,2001
Benin,2003-03-30,2003
Benin,2006-03-05,2006
Benin,2007-03-31,2007
Benin,2011-03-13,2011
Botswana,2004-10-30,2004
Botswana,2009-10-16,2009
Burkina Faso,2002-05-05,2002
Burkina Faso,2012-12-02,2012
Burundi,2005-07-04,2005
Burundi,2010-06-28,2010
Burundi,2010-07-23,2010
Cameroon,2002-06-30,2002
Cameroon,2004-10-11,2004
Cameroon,2011-10-09,2011
Central African Republic,2005-03-13,2005
Central African Republic,2005-05-08,2005
Central African Republic,2011-03-27,2011
Chad,2001-05-20,2001
Chad,2002-04-21,2002
Chad,2006-05-03,2006
Comoros,2002-04-14,2002
Comoros,2004-04-18,2004
Comoros,2004-04-25,2004
Comoros,2006-05-14,2006
Comoros,2009-12-20,2009
Djibouti,2003-01-10,2003
Djibouti,2005-04-08,2005
Djibouti,2008-02-08,2008
Djibouti,2011-04-08,2011
Egypt,2005-09-07,2005
Egypt,2005-11-09,2005
Egypt,2005-11-20,2005
Egypt,2005-12-01,2005
Egypt,2007-06-11,2007
Egypt,2010-06-01,2010
Egypt,2010-11-28,2010
Egypt,2011-11-28,2011
Egypt,2012-05-23,2012
Egypt,2012-06-16,2012
Equatorial Guinea,2002-12-15,2002
Equatorial Guinea,2004-04-25,2004
Equatorial Guinea,2009-11-29,2009
Ethiopia,2005-05-15,2005
Ethiopia,2010-05-23,2010
Gabon,2001-12-09,2001
Gabon,2005-11-27,2005
Gabon,2009-08-30,2009
Gambia,2001-10-18,2001
Gambia,2006-09-22,2006
Gambia,2011-11-24,2011
Gambia,2012-03-29,2012
Ghana,2004-12-07,2004
Ghana,2008-12-07,2008
Ghana,2012-12-07,2012
Guinea,2002-06-30,2002
Guinea,2003-12-21,2003
Guinea,2010-06-27,2010
Guinea,2010-11-07,2010
Kenya,2002-12-27,2002
Kenya,2007-12-27,2007
Liberia,2005-11-08,2005
Liberia,2011-10-11,2011
Liberia,2011-11-08,2011
Libya,2012-07-07,2012
Madagascar,2001-12-16,2001
Madagascar,2002-12-15,2002
Madagascar,2006-12-03,2006
Malawi,2004-05-20,2004
Malawi,2009-05-19,2009
Mali,2002-04-28,2002
Mali,2007-04-29,2007
Mauritania,2003-11-07,2003
Mauritania,2007-03-11,2007
Mauritania,2009-07-18,2009
Mauritius,2005-07-03,2005
Morocco,2002-09-27,2002
Morocco,2007-09-07,2007
Morocco,2011-11-25,2011
Mozambique,2004-12-01,2004
Mozambique,2009-10-28,2009
Namibia,2004-11-15,2004
Niger,2009-10-20,2009
Niger,2011-01-31,2011
Nigeria,2003-04-12,2003
Nigeria,2003-04-19,2003
Nigeria,2007-04-21,2007
Nigeria,2011-04-09,2011
Nigeria,2011-04-16,2011
Rwanda,2003-08-25,2003
Rwanda,2008-09-15,2008
Rwanda,2010-08-09,2010
Senegal,2001-04-29,2001
Senegal,2007-02-25,2007
Senegal,2012-02-26,2012
Senegal,2012-03-25,2012
Sierra Leone,2002-05-14,2002
Sierra Leone,2007-08-11,2007
Sierra Leone,2007-09-08,2007
Sierra Leone,2012-11-17,2012
South Africa,2004-04-14,2004
South Africa,2009-04-22,2009
Sudan,2010-04-11,2010
Swaziland,2003-10-18,2003
Swaziland,2008-09-19,2008
Tanzania,2005-12-14,2005
Tanzania,2010-10-31,2010
Togo,2002-10-27,2002
Togo,2003-06-01,2003
Togo,2005-04-24,2005
Togo,2007-10-14,2007
Togo,2010-03-04,2010
Tunisia,2009-10-25,2009
Tunisia,2011-10-23,2011
Uganda,2001-03-12,2001
Uganda,2001-06-26,2001
Uganda,2006-02-23,2006
Uganda,2011-02-18,2011
Zambia,2001-12-27,2001
Zambia,2006-09-28,2006
Zambia,2008-10-30,2008
Zambia,2011-09-20,2011
Zimbabwe,2002-03-09,2002
Zimbabwe,2005-03-31,2005
Zimbabwe,2008-03-29,2008
Zimbabwe,2008-06-27,2008
