country,Electiondate,Election type,Runoff,
Algeria,5/30/2002,L,,
Algeria,4/8/2004,P,,
Algeria,5/17/2007,L,,
Algeria,4/9/2009,P,,
Algeria,5/10/2012,L,,
Algeria,4/17/2014,P,,
Algeria,5/4/2017,L,,
Angola,9/6/2008,L,,
Angola,8/31/2012,B,,
Angola,8/23/2017,B,,
Benin,3/4/2001,P,,
Benin,3/30/2003,L,,
Benin,3/5/2006,P,,
Benin,3/31/2007,L,,
Benin,3/13/2011,P,,
Benin,4/30/2011,L,,
Benin,4/26/2015,L,,
Benin,3/6/2016,P,,
Botswana,10/30/2004,B,,
Botswana,10/16/2009,B,,
Botswana,10/24/2014,B,,
Burkina Faso,5/5/2002,L,,
Burkina Faso,11/13/2005,P,,
Burkina Faso,5/6/2007,L,,
Burkina Faso,11/21/2010,P,,
Burkina Faso,12/2/2012,L,,
Burkina Faso,11/29/2015,B,,
Burundi,7/4/2005,L,,
Burundi,8/19/2005,P,,
Burundi,6/28/2010,P,,
Burundi,7/23/2010,L,,
Burundi,6/29/2015,L,,Indirect Senate election - July 24/2015
Burundi,7/21/2015,P,,
Cameroon,6/30/2002,L,,
Cameroon,10/11/2004,P,,
Cameroon,7/22/2007,L,,
Cameroon,10/9/2011,P,,
Cameroon,9/30/2013,L,,
Cameroon,10/7/2018,P,,
Central African Republic,3/13/2005,B,,
Central African Republic,1/23/2011,B,,
Central African Republic,12/30/2015,B,,
Chad,5/20/2001,P,,
Chad,4/21/2002,L,,
Chad,5/3/2006,P,,
Chad,2/13/2011,L,,
Chad,4/25/2011,P,,
Chad,4/10/2016,P,,
Comoros,3/17/2002,P,,
Comoros,4/14/2002,P,1,
Comoros,4/16/2006,P,,
Comoros,5/14/2006,P,1,
Comoros,11/7/2010,P,,
Comoros,12/26/2010,P,1,
Comoros,4/18/2004,L,,
Comoros,4/25/2004,L,1,
Comoros,12/6/2009,L,,
Comoros,12/20/2009,L,1,
Comoros,1/25/2015,L,,
Comoros,2/21/2016,P,,
Comoros,4/10/2016,P,1,
Republic of the Congo,3/10/2002,P,,
Republic of the Congo,7/12/2009,P,,
Republic of the Congo,5/26/2002,L,,
Republic of the Congo,6/20/2002,L,1,
Republic of the Congo,6/24/2007,L,,
Republic of the Congo,7/22/2007,L,1,
Republic of the Congo,7/15/2012,L,,
Republic of the Congo,8/5/2012,L,1,
Republic of the Congo,3/20/2016,P,,
Republic of the Congo,7/16/2017,L,,
Republic of the Congo,7/30/2017,L,1,
Democratic Republic of the Congo,7/30/2006,B,,
Democratic Republic of the Congo,11/28/2011,B,,
Democratic Republic of the Congo,12/30/2018,B,,
Djibouti,4/8/2005,P,,
Djibouti,4/8/2011,P,,
Djibouti,1/10/2003,L,,
Djibouti,2/8/2008,L,,
Djibouti,2/22/2013,L,,
Djibouti,4/8/2016,P,,
Djibouti,2/23/2018,L,,
Egypt,9/7/2005,P,,
Egypt,10/18/2000,L,,
Egypt,11/8/2000,L,1,
Egypt,11/7/2005,L,,
Egypt,12/9/2005,L,1,
Egypt,11/28/2010,L,,
Egypt,12/5/2010,L,1,
Egypt,11/28/2011,L,,
Egypt,1/11/2012,L,1,
Egypt,5/24/2012,P,,
Egypt,5/28/2014,P,,
Egypt,10/17/2015,L,,
Egypt,12/2/2015,L,1,
Egypt,3/28/2018,P,,
Equatorial Guinea,12/15/2002,P,,
Equatorial Guinea,11/29/2009,P,,
Equatorial Guinea,4/25/2004,L,,
Equatorial Guinea,5/4/2008,L,,
Equatorial Guinea,5/26/2013,L,,
Equatorial Guinea,4/24/2016,P,,
Equatorial Guinea,11/12/2017,L,,
Ethiopia,5/14/2000,L,,
Ethiopia,5/15/2005,L,,
Ethiopia,5/23/2010,L,,
Ethiopia,10/9/2007,P,,
Ethiopia,10/7/2013,P,,
Ethiopia,5/24/2015,L,,
Ethiopia,10/25/2018,P,,
Gabon,11/27/2005,P,,
Gabon,8/30/2009,P,,
Gabon,12/9/2001,L,,
Gabon,12/23/2001,L,1,
Gabon,12/17/2006,L,,
Gabon,12/17/2011,L,,
Gabon,8/27/2016,P,,
Gabon,10/6/2018,L,,
Gabon,10/27/2018,L,1,
Gambia,10/18/2001,P,,
Gambia,9/22/2006,P,,
Gambia,11/24/2011,P,,
Gambia,1/17/2002,L,,
Gambia,1/25/2007,L,,
Gambia,3/29/2012,L,,
Gambia,12/1/2016,P,,
Gambia,4/6/2017,L,,
Ghana,12/7/2000,B,,
Ghana,12/7/2004,B,,
Ghana,12/7/2008,B,,
Ghana,12/7/2012,B,,
Ghana,12/7/2016,B,,
Guinea,9/28/2013,L,,
Guinea,10/11/2015,P,,
Guinea-Bissau,1/16/2000,B,,
Guinea-Bissau,6/19/2005,P,,
Guinea-Bissau,6/28/2009,P,,
Guinea-Bissau,3/28/2004,L,,
Guinea-Bissau,11/16/2008,L,,
Guinea-Bissau,3/18/2012,P,,
Guinea-Bissau,4/13/2014,B,,
Cote d'Ivoire,10/22/2000,P,,
Cote d'Ivoire,10/31/2010,P,,
Cote d'Ivoire,11/28/2010,P,1,
Cote d'Ivoire,12/10/2000,L,,
Cote d'Ivoire,12/11/2011,L,,
Cote d'Ivoire,10/25/2015,P,,
Cote d'Ivoire,12/18/2016,L,,
Kenya,12/27/2002,B,,
Kenya,12/27/2007,B,,
Kenya,3/4/2013,B,,
Kenya,8/8/2017,B,,
Kenya,10/26/2017,P,1,
Liberia,10/11/2005,B,,
Liberia,11/8/2005,P,1,
Liberia,10/11/2011,B,,
Liberia,11/8/2011,P,1,
Liberia,12/20/2014,L,,
Liberia,10/11/2011,B,,
Libya,7/7/2012,L,,
Libya,2/20/2014,L,,
Libya,6/25/2014,L,,
Madagascar,12/16/2001,P,,
Madagascar,12/3/2006,P,,
Madagascar,12/15/2002,L,,
Madagascar,9/23/2007,L,,
Madagascar,10/25/2013,B,,
Madagascar,12/20/2013,B,1,
Madagascar,11/7/2018,L,,
Malawi,5/20/2004,B,,
Malawi,5/19/2009,B,,
Malawi,5/20/2014,B,,
Mali,4/28/2002,P,,
Mali,5/12/2002,P,1,
Mali,4/29/2007,P,,
Mali,7/14/2002,L,,
Mali,7/28/2002,L,1,
Mali,7/1/2007,L,,
Mali,7/22/2007,L,1,
Mali,7/28/2013,P,,
Mali,8/11/2013,P,1,
Mali,11/24/2013,L,,
Mali,7/29/2018,P,,
Mauritania,11/7/2003,P,,
Mauritania,3/11/2007,P,,
Mauritania,3/25/2007,P,1,
Mauritania,7/18/2009,P,,
Mauritania,10/19/2001,L,,
Mauritania,10/26/2001,L,1,
Mauritania,11/19/2006,L,,
Mauritania,12/3/2006,L,1,
Mauritania,11/23/2013,L,,
Mauritania,6/21/2014,P,,
Mauritania,9/1/2018,L,,
Mauritania,9/15/2018,L,1,
Mauritius,9/11/2000,B,,
Mauritius,7/3/2005,B,,
Mauritius,5/5/2010,B,,
Mauritius,12/10/2014,B,,
Morocco,9/27/2002,B,,
Morocco,9/7/2007,L,,
Morocco,11/25/2011,B,,
Morocco,6/12/2009,L,,
Morocco,4/27/2003,L,,
Morocco,9/4/2015,L,,
Morocco,10/7/2016,B,,
Mozambique,12/2/2004,B,,
Mozambique,10/28/2009,B,,
Mozambique,10/15/2014,B,,
Namibia,11/16/2004,B,,
Namibia,11/28/2009,B,,
Namibia,11/28/2014,B,,
Niger,11/16/2004,P,,
Niger,12/4/2004,L,,
Niger,1/31/2011,B,,
Niger,10/20/2009,L,,
Niger,2/21/2016,B,,
Niger,3/20/2016,P,1,
Nigeria,4/19/2003,P,,
