country,Electiondate,Election type,Runoff,
Algeria,5/10/2012,L,,
Algeria,4/17/2014,P,,
Algeria,5/4/2017,L,,
Angola,8/31/2012,B,,
Angola,8/23/2017,B,,
Benin,4/26/2015,L,,
Benin,3/6/2016,P,,
Botswana,10/24/2014,B,,
Burkina Faso,12/2/2012,L,,
Burkina Faso,11/29/2015,B,,
Burundi,6/29/2015,L,,Indirect Senate election - July 24/2015
Burundi,7/21/2015,P,,
Cameroon,9/30/2013,L,,
Cameroon,10/7/2018,P,,
Central African Republic,12/30/2015,B,,
Chad,4/10/2016,P,,
Comoros,1/25/2015,L,,
Comoros,2/21/2016,P,4/10/2016,
Republic of Congo,7/15/2012,L,,
Republic of Congo,3/20/2016,P,,
Republic of Congo,7/16/2017,L,,
Democratic Republic of Congo,12/30/2018,B,,
Djibouti,2/22/2013,L,,
Djibouti,4/8/2016,P,,
Djibouti,2/23/2018,L,,
Egypt,1/11/2012,L,,
Egypt,5/24/2012,P,6/16/2012,
Egypt,5/28/2014,P,,
Egypt,12/2/2015,L,,
Egypt,3/28/2016,P,,
Equatorial Guinea,5/26/2013,L,,
Equatorial Guinea,4/24/2016,P,,
Equatorial Guinea,11/12/2017,L,,
Ethiopia,10/7/2013,P,,
Ethiopia,5/24/2015,L,,
Ethiopia,10/25/2018,P,,
Gabon,8/27/2016,P,,
Gabon,10/6/2018,L,10/27/2018,
Gambia,3/29/2012,L,,
Gambia,12/1/2016,P,,
Gambia,4/6/2017,L,,
Ghana,12/7/2012,B,,
Ghana,12/7/2016,B,,
Guinea,9/28/2013,L,,
Guinea,10/11/2015,P,,
Guinea-Bissau,3/18/2012,P,,
Guinea-Bissau,4/13/2014,B,,
Ivory Coast,10/25/2015,P,,
Ivory Coast,12/18/2016,L,,
Kenya,3/4/2013,B,,
Kenya,8/8/2017,B,10/26/2017 - Pres only,
Liberia,12/20/2014,L,,
Liberia,10/11/2011,B,,
Libya,7/7/2012,L,,
Libya,2/20/2014,L,,
Libya,6/25/2014,L,,
Madagascar,10/25/2013,B,12/20/2013,
Madagascar,11/7/2018,L,,
Malawi,5/20/2014,B,,
Mali,7/28/2013,P,8/11/2013,
Mali,11/24/2013,L,,
Mali,7/29/2018,P,,
Mauritania,11/23/2013,L,,
Mauritania,6/21/2014,P,,
Mauritania,9/1/2018,L,9/15/2018,
Mauritius,12/10/2014,P,,
Morocco,9/4/2015,L,,
Morocco,10/7/2016,B,,
Mozambique,10/15/2014,B,,
Namibia,11/28/2014,B,,
Niger,2/21/2016,B,3/20/2016 - P,
Nigeria,3/29/2015,B,,
Rwanda,9/18/2013,L,,
Rwanda,8/4/2017,P,,
Rwanda,9/3/2018,L,,
Senegal,2/26/2012,P,3/25/2012,
Senegal,7/1/2012,L,,
Senegal,7/30/2017,L,,
Sierra Leone,11/17/2012,B,,
Sierra Leone,3/7/2018,B,,
South Africa,5/7/2014,B,,
Sudan,4/16/2015,B,,
Swaziland,10/18/2003,,,
Swaziland,9/19/2008,,,
Tanzania,10/25/2015,B,,
Togo,7/25/2013,L,,
Togo,4/25/2015,P,,
Togo,12/20/2018,L,,
Tunisia,10/26/2014,L,,
Tunisia,11/23/2014,P,,
Uganda,2/18/2016,B,,
Zambia,1/20/2015,P,,
Zambia,8/11/2016,B,,
Zimbabwe,7/31/2013,B,,
Zimbabwe,7/30/2018,B,,
,,,,
,,,,
Adding Cape Verde before CAR,,,,
How to handle run-offs and multiple runoffs - add a column for Runoff Elections,,,,
