"id","type_of_violence","conflict_new_id","conflict_name","dyad_new_id","side_a_new_id","side_a","side_b_new_id","side_b","country_id","country","region","source_article","year","date_start","date_end","deaths_a","deaths_b","civilian_deaths","unknown","best","high","low","latitude","longitude","electoral_vio","electoral_vio_uncertainty","electoral_vio_source","electoral_purpose","electoral_side_a","electoral_side_a_2","electoral_side_a_inc","electoral_side_b","electoral_side_b_2","electoral_side_b_inc","electoral_perpetrator","electoral_targets","electoral_type","electoral_timing","relid","ucdp_ged"
95,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-21, Four killed in south as violence mars Yemen polls",2012,2/21/2012,2/21/2012,0,0,1,0,1,1,1,"12.779444","45.036667",1,0,"NA","disrupt","Public officials",,1,"Political supporters",,0,2,"2","2","2","YEM-2012-1-X2626-4",0
96,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-21, Four killed in south as violence mars Yemen polls",2012,2/21/2012,2/21/2012,1,0,0,0,1,1,1,"12.779444","45.036667",1,0,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"6","2","2","YEM-2012-1-X2626-5",0
175,2,5036,"Supporters of General Peoples Congress - Supporters of Islah party",5646,3425,"Supporters of General Peoples Congress",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","Reuters 1997-04-21 ""Yemeni man killed in pre-election violence",1997,4/20/1997,4/20/1997,0,0,0,1,1,1,1,"13.969184","43.996728",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,1,3,"3","1","1","YEM-1997-2-X4857-1",0
265,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-09, Two killed in south Yemen anti-election demo",2012,2/9/2012,2/9/2012,0,2,0,0,2,2,2,"13.695723","44.73137",1,0,"NA","crack down on protest and/or riot","Security forces",,1,"Political supporters",,0,1,"5","2","1","YEM-2012-1-X2626-2",0
266,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Rueters News, 2012-02-20,WRAPUP 3-Violence hits Yemen on eve of presidential vote",2012,2/20/2012,2/20/2012,0,1,0,0,1,1,1,"13.695723","44.73137",1,0,"NA","crack down on protest and/or riot","Security forces",,1,"Political supporters",,0,1,"5","2","1","YEM-2012-1-X2626-3",0
280,2,5036,"Supporters of General Peoples Congress - Supporters of Islah party",5646,3425,"Supporters of General Peoples Congress",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","AP 2001-02-21 ""Death toll in Yemeni polling is at least 6, early results favor ruling party",2001,2/20/2001,2/20/2001,0,0,0,2,2,2,2,"14.542742","44.405145",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,0,3,"3","3;4;5","2","YEM-2001-2-X4857-2",0
307,2,5036,"Supporters of General Peoples Congress - Supporters of Islah party",5646,3425,"Supporters of General Peoples Congress",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","Reuters 1997-04-30 ""Four killed in more Yemen election violence",1997,4/30/1997,4/30/1997,0,0,0,4,4,4,4,"16","43.25",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,1,3,"3","1","2","YEM-1997-2-X4857-3",0
339,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-21, Four killed in south as violence mars Yemen polls /Reuters News, 2012-02-21, WRAPUP 5-Yemen election ensures Saleh's exit after 33 years",2012,2/21/2012,2/21/2012,0,1,0,1,2,2,2,"13.056667","44.881944",1,0,"NA","crack down on protest and/or riot","Security forces",,1,"Political supporters",,0,1,"5","2","2","YEM-2012-1-X2626-7",0
343,1,11148,"Yemen (North Yemen):",11758,123,"Government of Yemen (North Yemen)",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","AFP 2001-02-25 ""Six more killed in Yemen election violence as death toll nears 30 ATTENTION - ADDS wounded, details of clashes",2001,2/25/2001,2/25/2001,3,3,0,0,6,6,6,"14","44.166667",1,0,"NA","protect results","Security forces",,1,"Political supporters",,0,3,"3;6","3;4;5","3","YEM-2001-1-X4850-2",0
344,2,5036,"Supporters of General Peoples Congress - Supporters of Islah party",5646,3425,"Supporters of General Peoples Congress",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","Reuters 2001-02-14 ""One Yemeni killed in pre-poll political violence",2001,2/14/2001,2/14/2001,0,1,0,0,1,1,1,"14","44.166667",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,0,3,"3","3;4;5","1","YEM-2001-2-X4857-1",0
399,2,5036,"Supporters of General Peoples Congress - Supporters of Islah party",5646,3425,"Supporters of General Peoples Congress",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","AP 2001-02-24 ""Continued post-election violence claims five lives in Yemen",2001,2/24/2001,2/24/2001,1,0,0,0,1,1,1,"16.164056","44.776919",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,0,3,"3","3;4;5","3","YEM-2001-2-X4857-9",0
403,2,5037,"Common Forum supporters - Supporters of General Peoples Congress",5647,3374,"Common Forum supporters",3425,"Supporters of General Peoples Congress",678,"Yemen (North Yemen)","Middle East","AFP 25/8",2006,8/25/2006,8/25/2006,0,0,0,3,3,3,3,"16.689733","45.611557",1,0,"NA","divergent affiliations","Political supporters",,0,"Political supporters",,1,3,"3","3","1","YEM-2006-2-X4858-1",0
490,1,230,"Yemen (North Yemen):Government",459,123,"Government of Yemen (North Yemen)",881,"AQAP",678,"Yemen (North Yemen)","Middle East","Associated Press Newswires, 2012-02-15, Yemeni security officials: 5 officials shot, soldier killed in car bomb",2012,2/15/2012,2/15/2012,1,0,0,0,1,1,0,"15.416667","45.35",1,1,"NA","disrupt","Security forces",,1,"Rebel group",,0,2,"6","2","1","YEM-2012-1-784-26",1
528,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-21, Four killed in south as violence mars Yemen polls /Reuters News, 2012-02-21, WRAPUP 5-Yemen election ensures Saleh's exit after 33 years",2012,2/21/2012,2/21/2012,1,1,0,0,2,2,2,"14.542481","49.124244",1,0,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"6;10","2","2","YEM-2012-1-X2626-6",0
534,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Reuters News, 2012-02-23, Yemen troops kill secessionist demonstrator in south",2012,2/23/2012,2/23/2012,0,1,0,0,1,1,1,"14.542481","49.124244",1,0,"NA","crack down on protest and/or riot","Security forces",,1,"Political supporters",,0,1,"5","2","3","YEM-2012-1-X2626-8",0
535,1,230,"Yemen (North Yemen):Government",10855,123,"Government of Yemen (North Yemen)",1091,"Ansarallah",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-25, Two Yemen soldiers die after clashes with southern militants",2012,2/25/2012,2/25/2012,2,0,0,0,2,2,2,"14.542481","49.124244",1,0,"NA","crack down on protest and/or riot","Security forces",,1,"Political supporters",,0,1,"5","2","3","YEM-2012-1-X2626-9",0
537,3,715,"Government of Yemen (North Yemen) - Civilians",1182,123,"Government of Yemen (North Yemen)",1,"Civilians",678,"Yemen (North Yemen)","Middle East","Reuters News, 2012-02-05, UPDATE 1-Fighting over captured Yemeni city kills five",2012,2/5/2012,2/5/2012,0,0,0,1,1,1,1,"14.542481","49.124244",1,0,"NA","crack down on protest and/or riot","Security forces",,1,"Political supporters",,0,1,"5","2","1","YEM-2012-3-678-1",0
707,2,5036,"Supporters of General Peoples Congress - Supporters of Islah party",5646,3425,"Supporters of General Peoples Congress",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","Dow Jones 2001-02-23 ""Five More Killed In Yemen Post-Election Violence",2001,2/23/2001,2/23/2001,0,0,0,2,2,2,2,"15.354722","44.206667",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,0,3,"3","3;4;5","3","YEM-2001-2-X4857-3",0
868,1,11148,"Yemen (North Yemen):",11758,123,"Government of Yemen (North Yemen)",2374,"Supporters of Islah party",678,"Yemen (North Yemen)","Middle East","AFP 2001-02-22 ""Two newly-elected opposition councillors killed in Yemen ATTENTION - INCORPORATES Yemen-vote-police",2001,2/22/2001,2/22/2001,3,0,0,0,3,3,3,"15.354722","44.206667",1,0,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"2;6","3;4;5","3","YEM-2001-1-X4850-1",0
1089,1,169,"XXX678",337,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Agence France Presse, 2012-02-20, Anti-election gunmen shoot dead Yemen soldier",2012,2/20/2012,2/20/2012,1,0,0,0,1,1,1,"13.922541","44.76827",1,1,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"10","2","1","YEM-2012-1-XXX678-7",0
1117,1,169,"XXX678",337,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Rueters News, 2012-02-20, UPDATE 1-Blast rocks Yemeni polling station ahead of vote",2012,2/20/2012,2/20/2012,1,0,0,0,1,1,1,"12.779444","45.036667",1,0,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"6;10","2","1","YEM-2012-1-XXX678-8",0
1124,1,169,"XXX678",337,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Dow Jones 2001-02-23 ""Five More Killed In Yemen Post-Election Violence",2001,2/23/2001,2/23/2001,1,0,2,0,3,3,3,"14.34166","45.39442",1,0,"NA","divergent affiliations","Political supporters",,-99,"Political supporters",,-99,3,"3","3;4;5","3","YEM-2001-1-XXX678-2",0
1205,1,169,"XXX678",337,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","AFP 12/9",2006,9/12/2006,9/12/2006,0,0,51,0,51,51,51,"13.940771","44.177343",1,1,"NA","unclear","Political supporters",,0,"Political supporters",,1,4,"3","2;3","1","YEM-2006-1-XXX678-1",0
1206,2,169,"XXX678 - XXX678",338,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","AP 2001-02-21 ""Death toll in Yemeni polling is at least 6, early results favor ruling party",2001,2/14/2001,2/20/2001,0,0,0,8,8,9,8,"14","44.166667",1,0,"NA","divergent affiliations","Political supporters",,-99,"Political supporters",,-99,3,"3","3;4;5","1","YEM-2001-2-XXX678-3",0
1221,2,169,"XXX678 - XXX678",338,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Reuters 1997-05-01 ""Yemeni journalist killed in latest poll violence.",1997,4/30/1997,4/30/1997,0,0,1,1,2,2,2,"13.166667","44.583332",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,1,3,"3","1","2","YEM-1997-2-XXX678-5",0
1223,3,4428,"XXX678 - Civilians",5034,3764,"XXX678",1,"Civilians",678,"Yemen (North Yemen)","Middle East","AFP 12/9",2006,8/28/2006,8/28/2006,0,0,1,0,1,1,1,"13.166667","44.583332",1,0,"NA","unclear","Unclear",,-99,"Political supporters",,0,1,"3","2","1","YEM-2006-3-XXX678-3",0
1224,1,169,"XXX678",337,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Reuters News, 2012-02-19, UPDATE 1-Yemen to seal Saleh's exit in one-candidate vote",2012,2/19/2012,2/19/2012,1,1,0,0,2,2,2,"13.166667","44.583332",1,0,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"10","2","1","YEM-2012-1-XXX678-6",0
1236,2,169,"XXX678 - XXX678",338,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Rueters News, 2012-02-20, WRAPUP 3-Violence hits Yemen on eve of presidential vote",2012,2/20/2012,2/20/2012,0,2,0,0,2,2,2,"13.882824","45.868586",1,1,"NA","disrupt","Security forces",,1,"Political supporters",,0,2,"6;10","2","1","YEM-2012-2-XXX678-6",0
1260,2,169,"XXX678 - XXX678",338,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","AP 2001-02-21 ""Death toll in Yemeni polling is at least 6, early results favor ruling party",2001,2/20/2001,2/20/2001,0,0,0,1,1,1,1,"14.797812","42.954516",1,0,"NA","divergent affiliations","Political supporters",,-99,"Political supporters",,-99,3,"3","3;4;5","2","YEM-2001-2-XXX678-5",0
1268,2,169,"XXX678 - XXX678",338,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","AP 2001-02-21 ""Death toll in Yemeni polling is at least 6, early results favor ruling party",2001,2/20/2001,2/20/2001,0,0,0,1,1,1,1,"15.354722","44.206667",1,0,"NA","divergent affiliations","Political supporters",,-99,"Political supporters",,-99,3,"3","3;4;5","2","YEM-2001-2-XXX678-6",0
1338,1,169,"XXX678",337,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","Rueters News, 2012-02-20, WRAPUP 3-Violence hits Yemen on eve of presidential vote",2012,2/20/2012,2/20/2012,0,1,0,0,1,1,1,"15.943333","48.793333",1,1,"NA","disrupt","Security forces",,1,"Unclear",,-99,2,"6;10","2","1","YEM-2012-1-XXX678-9",0
1343,2,169,"XXX678 - XXX678",338,3764,"XXX678",3764,"XXX678",678,"Yemen (North Yemen)","Middle East","AP 2001-02-24 ""Continued post-election violence claims five lives in Yemen",2001,2/24/2001,2/24/2001,0,0,0,4,4,4,4,"13.579522","44.020908",1,0,"NA","divergent affiliations","Political supporters",,1,"Political supporters",,0,3,"3","3;4;5","3","YEM-2001-2-XXX678-8",0
1675,3,706,"Government of Algeria - Civilians",1173,109,"Government of Algeria",1,"Civilians",615,"Algeria","Africa","Reuters, 1991-06-27",1991,6/25/1991,6/26/1991,0,0,0,3,3,3,3,"36.470039","2.827699",1,2,"NA","spell","Security forces",,1,"Political supporters",,0,1,"5","1","1","ALG-1991-3-615-5",0
