region,name,year,month,basestate,targetstate,countryid,groupid,ucdpid_con,ucdpid_dyad,neldaid,election,alias,part,propart,nopart,viop,peacep,winner,priorp,active,ucdp,terr,beyond_10u,
NAC,Red Guerilla Resistance (RGR),1976,11,United States,United States,2,21,,,002-1976-1102-L1,1,,0,,"Election World, United States 1978",0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1977,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1978,11,United States,United States,2,21,,,002-1978-1107-L1,1,,0,,"Election World, United States 1978",0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1979,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1980,11,United States,United States,2,21,,,002-1980-1104-L1,1,,0,,"Election World, United States 1980",0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1981,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,1,0,0,0,
NAC,Red Guerilla Resistance (RGR),1982,11,United States,United States,2,21,,,002-1982-1102-L1,1,,0,,"Election World, United States 1982",0,0,0,0,1,0,0,0,
NAC,Red Guerilla Resistance (RGR),1983,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,1,0,0,0,
NAC,Red Guerilla Resistance (RGR),1984,11,United States,United States,2,21,,,002-1984-1106-L1,1,,0,,"Election World, United States 1984",0,0,0,0,1,0,0,0,
NAC,Red Guerilla Resistance (RGR),1985,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,1,0,0,0,
NAC,Red Guerilla Resistance (RGR),1986,11,United States,United States,2,21,,,002-1986-1104-L1,1,,0,,"Election World, United States 1986",0,0,0,0,1,0,0,0,
NAC,Red Guerilla Resistance (RGR),1987,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1988,11,United States,United States,2,21,,,002-1988-1108-L1,1,,0,,"Election World, United States 1988",0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1989,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1990,11,United States,United States,2,21,,,002-1990-1106-L1,1,,0,,"Election World, United States 1990",0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1991,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1992,11,United States,United States,2,21,,,002-1992-1103-L1,1,,0,,"Election World, United States 1992",0,0,0,0,0,0,0,0,
NAC,Red Guerilla Resistance (RGR),1993,,United States,United States,2,21,,,,0,,0,,,0,0,0,0,0,0,0,0,
