Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AFG,Afghanistan,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGO,Angola,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,0,0,0,0,,,,,
ALB,Albania,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AND,Andorra,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ARE,United Arab Emirates,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ARG,Argentina,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ARM,Armenia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1
ASM,American Samoa,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ATG,Antigua and Barbuda,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AUS,Australia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AUT,Austria,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
AZE,Azerbaijan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1
BDI,Burundi,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,Belgium,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BEN,Benin,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BFA,Burkina Faso,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1
BGD,Bangladesh,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BGR,Bulgaria,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BHR,Bahrain,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BHS,"Bahamas, The",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BIH,Bosnia and Herzegovina,28156,Is this country on the FCV list?,Value,0,0,0,0,1,1,1,1,1,1,1,0,,,,,
BLR,Belarus,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BLZ,Belize,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BMU,Bermuda,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BOL,Bolivia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BRA,Brazil,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BRB,Barbados,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BRN,Brunei Darussalam,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BTN,Bhutan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BWA,Botswana,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAF,Central African Republic,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAN,Canada,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CHE,Switzerland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CHL,Chile,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CHN,China,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
