Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,Afghanistan,32416,Press Freedom Index,Total,35.5,40.17,28.25,39.17,44.25,56.5,59.25,54.25,51.67,37.36,37.07,37.44,37.75,,39.46,37.28,36.55,37.7,40.19
AFG,Afghanistan,32417,Press Freedom Rank,Total,59,78,49,62,67,107,92,103,105,112,117,116,114,114,120,118,121,122,122
AGO,Angola,32416,Press Freedom Index,Total,30.2,28,26.5,18,21.5,26.5,29.5,36.5,28.5,37.8,36.5,37.84,39.89,,40.42,38.35,34.96,33.92,34.06
AGO,Angola,32417,Press Freedom Rank,Total,50,46,44,26,36,55,48,73,64,114,113,117,117,119,125,121,109,106,103
ALB,Albania,32416,Press Freedom Index,Total,,6.5,11.5,14.17,18,25.5,16,21.75,21.5,30.88,29.92,28.77,29.92,,29.92,29.49,29.84,30.25,30.59
ALB,Albania,32417,Press Freedom Rank,Total,,100,11,17,24,53,18,43,45,87,74,76,78,72,76,75,82,84,83
AND,Andorra,32416,Press Freedom Index,Total,,,,,,,,,,6.82,6.82,19.87,19.87,,21.03,22.21,24.63,23.23,23.32
AND,Andorra,32417,Press Freedom Rank,Total,,,,,,,,,,152,159,27,29,32,35,37,37,37,39
ARE,United Arab Emirates,32416,Press Freedom Index,Total,,37,50.25,25.75,17.5,20.25,14.5,21.5,23.75,33.49,36.03,36.73,36.73,,39.39,40.86,43.63,42.69,43.13
ARE,United Arab Emirates,32417,Press Freedom Rank,Total,,68,88,45,23,35,14,42,52,98,107,114,113,113,119,128,133,131,131
ARG,Argentina,32416,Press Freedom Index,Total,12,15.17,21.33,13.67,17.3,24.83,14.08,11.33,16.35,25.67,25.27,26.11,25.09,,25.07,26.05,28.3,28.78,28.99
ARG,Argentina,32417,Press Freedom Rank,Total,8,15,35,15,22,49,13,11,24,40,44,52,50,47,50,52,57,64,69
ARM,Armenia,32416,Press Freedom Index,Total,,25.17,23.5,26,25.5,23.63,22.75,31.13,27.5,28.04,29.07,28.43,28.79,,30.38,29.99,28.98,28.6,28.83
ARM,Armenia,32417,Press Freedom Rank,Total,,39,39,46,42,44,36,65,62,59,67,72,70,75,79,80,61,61,63
ATG,Antigua and Barbuda,32416,Press Freedom Index,Total,,,,,,,,,,,20.81,,,,,,,,
ATG,Antigua and Barbuda,32417,Press Freedom Rank,Total,,,,,,,,,,,25,,,,,,,,
AUS,Australia,32416,Press Freedom Index,Total,3.5,9.25,9.5,6.5,9,8.79,6.25,3.13,5.38,15.24,16.91,17.03,17.84,,16.02,15.46,16.55,20.21,19.79
AUS,Australia,32417,Press Freedom Rank,Total,48,118,120,93,103,133,97,59,99,12,17,20,21,16,19,19,21,26,25
AUT,Austria,32416,Press Freedom Index,Total,7.5,2.75,3.25,2.5,4.5,4.25,3.5,3,0.5,9.4,10.01,10.85,13.18,,13.47,14.04,15.33,15.78,16.34
AUT,Austria,32417,Press Freedom Rank,Total,86,30,53,32,63,82,51,58,1,175,1,2,7,8,11,11,16,18,17
