country_year,country,year,electexec,electleg,electboth,v2xel_elecpres,v2xel_elecparl,AF.el_rating,PEI.el_rating,VDEM.el_rating,PEI.EMB_cap,VDEM.EMB_cap,PEI.protest,VDEM.turnout,VDEM.VAP_turnout,nelda17,nelda18,nelda11,nelda45,nelda46,nelda3,nelda4,nelda5,nelda29,nelda30,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parcomp,FH.fh_total,WB.GDP_ppc,WB.FDI,WB.inflation,WB.gini,WB.urban_pop,literacy_imputed,VDEM.yrs_education,press_freedom,VDEM.elec_viol,VDEM.international_monitors_present,VDEM.access_to_public_services_social_group,VDEM.access_to_public_services_pol_group,VDEM.regime_support_by_an_ethnic_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_support_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_duration_group,after_non_violent_number_of_events,after_non_violent_number_of_fatalities,after_violent_number_of_events,after_violent_number_of_fatalities,before_non_violent_number_of_events,before_non_violent_number_of_fatalities,before_violent_number_of_events,before_violent_number_of_fatalities,on_date_non_violent_number_of_events,on_date_non_violent_number_of_fatalities,on_date_violent_number_of_events,on_date_violent_number_of_fatalities,events_before,events_after,fatilities_before,fatilities_after,change_in_events,change_in_fatalities,change_in_violent_events,change_in_non_violent_events,change_in_violent_fatalities,change_in_non_violent_fatalities
Algeria-2002,Algeria,2002,No,Yes,No,0,1,NA,NA,1.053,NA,2.752,NA,46.17,45.08,1,0,1,0,NA,1,1,1,1,1,0,-3,7,3,11,3297.61281111413,1064960000,1.41830192345045,NA,61.501,69.8734970092773,6.62,33,3.614,0,1.288,0.862,0,0,0,1,0,66,301,6,0,62,292,0,0,2,1,68,67,292,301,-0.014705882352941124,0.03082191780821919,0.06451612903225801,-0.8333333333333334,0.03082191780821919,NA
Algeria-2004,Algeria,2004,Yes,No,No,1,0,NA,NA,1.37,NA,2.752,NA,58.07,53.6,1,0,0,1,1,1,1,1,1,NA,0,2,0,3,11,3592.64530104949,884749028,3.96180030257191,NA,63.061,72.648681640625,6.79,40.33,3.62,1,1.288,0.862,0,0,0,6,0,40,61,3,0,21,10,0,0,10,0,24,46,10,61,0.9166666666666667,5.1,0.9047619047619047,1,5.1,NA
Algeria-2007,Algeria,2007,No,Yes,No,0,1,NA,NA,1.694,NA,2.752,NA,35.51,32.02,0,0,1,0,NA,1,1,1,0,NA,0,2,3,3,11,3828.14847629173,1686736539.70385,3.67899574741703,NA,65.348,75.1360473632813,7.045,31.33,3.121,0,1.288,0.862,0,0,0,0,0,90,160,3,0,93,217,0,0,0,0,96,90,217,160,-0.0625,-0.2626728110599078,-0.032258064516129004,-1,-0.2626728110599078,NA
Algeria-2009,Algeria,2009,Yes,No,No,1,0,NA,NA,1.548,NA,2.752,NA,74.56,65.86,0,0,1,1,0,1,1,1,1,1,0,2,5,3,11,3851.21377722335,2746930734.16534,5.73706036145632,NA,66.826,81.4078369140625,7.215,47.33,2.767,1,1.288,0.862,0,0,0,16,0,62,189,6,0,44,117,0,0,1,0,50,78,117,189,0.56,0.6153846153846154,0.40909090909090917,1.6666666666666665,0.6153846153846154,NA
Algeria-2012,Algeria,2012,No,Yes,No,0,1,NA,NA,1.737,NA,2.752,NA,43.14,38.7,1,0,1,1,1,1,1,1,0,NA,0,2,8,3,11,4012.36150559795,1500402452.8635,8.89145091062314,NA,68.915,81.4078369140625,7.3,36.54,2.77,1,1.288,0.862,0,0,0,14,0,47,53,4,0,34,87,0,0,1,0,38,61,87,53,0.605263157894737,-0.3908045977011494,0.38235294117647056,2.5,-0.3908045977011494,NA
Algeria-2014,Algeria,2014,NA,NA,NA,1,0,NA,3.75,1.593,35.15625,2.368,48.75,49.42,43.57,0,0,1,1,1,1,1,1,1,1,0,2,10,3,11,4112.07602394229,1502206170.55838,2.91692692067457,NA,70.221,81.4078369140625,7.3,36.63,2.892,1,1.288,0.862,0,0,0,12,0,32,68,59,2,70,76,0,0,6,0,129,44,78,68,-0.6589147286821706,-0.1282051282051282,-0.5428571428571429,-0.7966101694915254,-0.10526315789473684,-1
Algeria-2017,Algeria,2017,NA,NA,NA,0,1,NA,4.1666665,1.613,36.822918,2.255,49.244793,37.09,31.65,0,1,1,NA,NA,1,1,1,0,NA,0,2,13,3,11,4192.33769222334,1230243450.87889,5.59111590961673,NA,72.052,81.4078369140625,7.3,42.83,2.903,1,1.288,0.862,0,0,0,62,0,37,45,46,0,40,54,1,0,18,1,86,99,54,45,0.15116279069767447,-0.16666666666666663,-0.07499999999999996,0.34782608695652173,-0.16666666666666663,NA
Algeria-2019,Algeria,2019,NA,NA,NA,1,0,NA,NA,1.374,NA,0.867,NA,39.88,34.86,NA,0,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,11,4115.39553969777,1381200049.59264,1.95176821052894,NA,73.189,81.4078369140625,7.3,45.75,2.015,0,1.144,0.862,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-2021,Algeria,2021,NA,NA,NA,0,1,NA,NA,1.688,NA,1.546,NA,23.03,19.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,47.26,2.778,0,1,1.209,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola-2008,Angola,2008,No,Yes,No,0,1,NA,NA,1.781,NA,1.413,NA,87.36,92.42,1,0,1,1,1,1,1,1,0,NA,0,-2,11,4,11,4077.77684411643,1678971010,12.4758291326398,42.7,58.282,66.0301132202148,2.862,36.5,3.073,1,-0.34,-0.002,0.125,0,0,0,0,2,0,0,0,1,7,0,0,0,0,1,2,7,0,1,-1,1,NA,-1,NA
