country_year,electexec,electleg,electboth,IAEP.Constitution amended this year?,IAEP.Age of constitution (years),govstruct,IAEP.Regional government reps selected,IAEP.Election scheduled,IAEP.Election period,IAEP.Do party nominations field leg candidates?,IAEP.Do party nominations field executive candidates?,IAEP.Leg elec sys,IAEP.Exec elec sys,IAEP.Exec elec rules,IAEP.Num of parties that hold >= 5% of legislature,IAEP.Official state party?,IAEP.Leg elec competetive?,IAEP.Exec elec competetive?,IAEP.Boycotted by major party?,IAEP.Did election cause protest/violence?,IAEP.protestpart,IAEP.% of pop voting in leg elec,IAEP.% of pop voting in exec elec,EXELEC,LEGELEC,QED.Transitional election,QED.Runoff election,QED.Freedom to change government,QED.Freedom of association,QED.Freedom of speech,QED.Overall election quality,QED.Extent of election problems,QED.Pre-election legal structural enviornment,QED.Pre-election political conditions,QED.Pre-election violence/unrest,QED.Pre-election administrative capacity,QED.Election day explicit cheating,QED.Election day violence/unrest,QED.Election day administrative capacity,PEI.# years since last regime transition,PEI.WB income level,"PEI.PEI index of electoral integrity, imputed",PEI.Rating of electoral integrity (1-10),"PEI.Electoral laws index (0-100), imputed","PEI.Electoral prodcedures index (0-100), imputed","PEI.Voting district boundaries index (0-100), imputed","PEI.Voter regisration index (0-100), imputed","PEI.Party/candidate registration index (0-100), imputed","PEI.Media coverage index (0-100), imputed","PEI.Campaign finance index (0-100), imputed","PEI.Voting process index (0-100), imputed","PEI.Vote count index (0-100), imputed","PEI.Voting results/reactions index (protests/disputes) (0-100), imputed","PEI.Electoral authorities index (0-100), imputed",PEI.turnout,nelda1,nelda3,nelda4,nelda5,nelda11,nelda17,nelda18,nelda29,nelda30,nelda32,nelda45,nelda46,nelda47,nelda48,nelda49,VDEM.turnout,VDEM.VAP_turnout,VDEM.EMB_capacity_ord,VDEM.yrs_education,v2xel_elecparl,v2xel_elecpres,VDEM.elec_viol,VDEM.international_monitors_present,country,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parreg,POLITY5.parcomp,POLITY5.regtrans,FH.status,FH.fh_total,WB.GDP per capita (constant 2015 US$),"WB.Foreign direct investment, net inflows (BoP, current US$","WB.Inflation, consumer prices (annual %)",WB.Gini index,WB.%pop living in urban,WB.adult literacy rate,CIRI.PHYSINT,CIRI.NEW_EMPINX,CIRI.ELECSD,CIRI.WOPOL,CIRI.INJUD,Press Freedom Index,"AFROBAR.Election Integrity (10=free/fair, 0=unfree/unfair)"
Algeria-1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-8,0,4,1,99,NA,NA,1433.10063290558,NA,NA,NA,33.214,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-1963,Yes,No,No,N/A - no constitution,.b,Missing information,Missing information,Missing information,One day,No,No executive elections,Missing information,Missing information,N/A - no elected executive,Missing information,Missing information,Missing information,Missing information,Yes,Yes,Moderate participation,.a,88.90000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-8,1,4,1,NA,NA,NA,1877.51295680785,NA,NA,NA,34.662,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-8,2,4,1,NA,NA,NA,1936.92803525883,NA,NA,NA,36.141,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-1976,Yes,NA,No,N/A - no constitution,.b,Unitary system,Central government decision,No formal schedule,Missing information,N/A - no legislature,No,N/A - no legislature,Missing information,Missing information,N/A - no legislature,Yes,N/A - no legislature,No,No,No,N/A - no election protest,.e,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,14,4,1,NA,NF,12,2878.61000110926,187000000,9.43073540174554,NA,40.497,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-1977,No,Yes,No,No,1,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Majority,Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,75.84,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,15,4,1,NA,NF,12,2944.32111157251,178452646.789187,11.989283322105,NA,40.928,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-1979,Yes,No,No,Yes,3,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Majority,Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,17,4,1,NA,NF,12,3258.73121455504,25692486.0358378,11.3486005086091,NA,42.665,NA,NA,NA,NA,NA,NA,NA,NA
Algeria-1982,No,Yes,No,No,6,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Majority,Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,64.34,.a,0,1,0,0,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(3) High - major problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,20,4,1,NA,NF,12,3281.8608560254,-53569192.6448124,6.54250963007668,NA,45.303,NA,8,4,0,1,2,NA,NA
Algeria-1984,Yes,No,No,No,8,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Majority,Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,.a,96,1,0,NA,NA,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,(3) High - major problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes,no,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,22,4,1,NA,NF,12,3432.80639946519,802668.874073183,8.11639795517099,NA,47.079,NA,5,4,1,1,1,NA,NA
Algeria-1987,No,Yes,No,No,11,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Majority,Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,87.48,.a,0,1,NA,NA,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,0.5,(3) High - major problems,(3) High - major problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,yes,no,yes,yes,yes,no,no,N/A,N/A,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,25,4,1,NA,NF,12,3248.88117438815,3711537.89978504,7.44126091287252,NA,49.722,49.6308784484863,5,5,1,1,1,NA,NA
Algeria-1988,Yes,No,No,Yes,12,Unitary system,Central government decision,"Yes, exact periods",One day,Yes,Yes,Majority,Directly elected,Majority rule,One,Yes,No,No,No,No,N/A - no election protest,.a,.a,1,0,0,0,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(3) High - major problems,(3) High - major problems,NA,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,yes,no,N/A,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-9,26,4,1,NA,NF,11,3128.33753295733,13018265.0203164,5.9115449637349,40.2,50.511,NA,4,3,0,1,2,NA,NA
